"row_id";"order_id";"order_date";"customer_id";"customer_name";"email";"city";"region";"product_id";"product_name";"category";"quantity";"unit_price";"discount_pct";"payment_method";"order_status";"sales_rep"
1;"O1001";"2025-11-24";"C002";"Priya Shah";"priya.shah@gmail.com";"Mumbai";"West";"P105";"Noise Cancelling Headphones";"Audio";2;"5999";"5";"Card";"completed";"rahul"
2;"O1002";"2026-01-15";"C009";"Dev Malhotra";"devmalhotra@gmail";"Pune";"West";"P110";"Office Chair";"Furniture";4;"8999";"0";"UPI";"completed";"Neha"
3;"O1003";"2025-04-30";"C009";"Dev Malhotra";"devmalhotra@gmail";"Kolkata";"East";"P101";"Laptop Stand";"Accessories";5;"799";"5";"COD";"Returned";"Sana"
6;"O1006";"2025-07-14";"C002";"Priya Shah";"priya.shah@gmail.com";"Noida";"North";"P106";"Bluetooth Speaker";"Audio";5;"2799";"10";"UPI";"Complete";"rahul"
10;"O1010";"2025-12-10";"C005";"Ishaan Verma";"ishaan.verma@gmail.com";"Pune";"West";"P110";"Office Chair";"Furniture";2;"8999";"20";"COD";"Cancelled";"Neha"
13;"O1013";"2025-06-11";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Hyderabad";"South";"P107";"27 Inch Monitor";"Electronics";4;"14999";"5";"Card";"Pending";"Neha"
14;"O1014";"2026-01-17";"C009";"Dev Malhotra";"devmalhotra@gmail";"Chennai";"South";"P105";"Noise Cancelling Headphones";"Audio";5;"5999";"15";"NetBanking";"In Progress";"Amit"
17;"O1025";"2025-09-28";"C005";"Ishaan Verma";"ishaan.verma@gmail.com";"Chennai";"South";"P101";"Laptop Stand";"Accessories";1;"799";"25";"NetBanking";"cancelled";"rahul"
18;"O1018";"2025-06-24";"C002";"Priya Shah";"priya.shah@gmail.com";"Delhi";"North";"P107";"27 Inch Monitor";"Electronics";2;"14999";"15";"UPI";"cancelled";"Vikram"
19;"O1019";"2026-01-26";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Chennai";"South";"P102";"Wireless Mouse";"Accessories";-1;"1299";"25";"Card";"Returned";"Vikram"
22;"O1022";"2025-01-30";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Kolkata";"East";"P102";"Wireless Mouse";"Accessories";1;"1299";"25";"Cash";"completed";"Vikram"
24;"O1024";"2025-04-19";"C009";"Dev Malhotra";"devmalhotra@gmail";"Thane";"West";"P105";"Noise Cancelling Headphones";"Audio";4;"5999";"25";"COD";"Shipped";"Sana"
25;"O1025";"2025-09-22";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Pune";"West";"P104";"USB-C Hub";"Accessories";2;"2199";"0";"Card";"Complete";"Vikram"
26;"O1026";"2025-10-11";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Kolkata";"East";"P104";"USB-C Hub";"Accessories";1;"2199";"0";"COD";"Complete";"Neha"
27;"O1027";"2025-02-04";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Noida";"North";"P102";"Wireless Mouse";"Accessories";5;"1299";"5";"Card";"Complete ";"Neha"
28;"O1028";"2025-10-04";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Kolkata";"East";"P110";"Office Chair";"Furniture";4;"8999";"5";"UPI";"Complete ";"Sana"
29;"O1029";"2025-04-08";"C002";"Priya Shah";"priya.shah@gmail.com";"Pune";"West";"P107";"27 Inch Monitor";"Electronics";3;"14999";"15";"Cash";"Complete ";"rahul"
31;"O1031";"2025-04-09";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Chennai";"South";"P108";"Webcam HD ";"Electronics";2;"2599";"15";"Card";"cancelled";"Sana"
32;"O1032";"2025-05-08";"C002";"Priya Shah";"priya.shah@gmail.com";"Hyderabad";"South";"P109";"External SSD 1TB";"Storage";1;"7499";"0";"COD";"Returned";"Rahul"
33;"O1033";"2025-02-17";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Navi Mumbai";"West";"P107";"27 Inch Monitor";"Electronics";4;"14999";"15";"Card";"In Progress";"Rahul"
35;"O1035";"2025-08-05";"C009";"Dev Malhotra";"devmalhotra@gmail";"Hyderabad";"South";"P103";"Mechanical Keyboard";"Accessories";2;"3499";"10";"Card";"Complete";"Vikram"
36;"O1036";"2026-01-12";"C009";"Dev Malhotra";"devmalhotra@gmail";"Mumbai";"West";"P106";"Bluetooth Speaker";"Audio";1;"2799";"0";"NetBanking";"Complete ";"Vikram"
39;"O1039";"2025-11-14";"C002";"Priya Shah";"priya.shah@gmail.com";"Bengaluru";"South";"P110";"Office Chair";"Furniture";5;"8999";"20";"Card";"cancelled";"Neha"
40;"O1040";"2025-12-09";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Thane";"West";"P105";"Noise Cancelling Headphones";"Audio";4;"5999";"5";"COD";"cancelled";"Sana"
41;"O1041";"2025-06-11";"C002";"Priya Shah";"priya.shah@gmail.com";"Mumbai";"West";"P108";"Webcam HD";"Electronics";5;"2599";"20";"UPI";"completed";"Vikram"
